feature,seuil,gauche,droite,p_NORMAL,p_DOS,p_PROBE,p_R2L,p_U2R
52,0.000000,2063,2064,0.054548,0.000000,0.945452,0.000000,0.000000
-1,0.000000,-1,-1,0.070394,0.000000,0.929606,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.019320,0.000000,0.000000,0.980680,0.000000
28,0.074510,2067,2080,0.697241,0.008814,0.065113,0.228832,0.000000
23,0.000000,2068,2075,0.572499,0.000000,0.031894,0.395607,0.000000
33,0.000000,2069,2072,0.167722,0.000000,0.011675,0.820603,0.000000
30,0.870000,2070,2071,0.040181,0.000000,0.000000,0.959819,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.037907,0.000000,0.000000,0.962093,0.000000
29,0.019608,2073,2074,0.919508,0.000000,0.080492,0.000000,0.000000
-1,0.000000,-1,-1,0.463928,0.000000,0.536072,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
31,0.430000,2076,2079,0.949284,0.000000,0.050716,0.000000,0.000000
36,0.890000,2077,2078,0.970376,0.000000,0.029624,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.968519,0.000000,0.031481,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
37,0.165000,2081,2088,0.868401,0.020907,0.110693,0.000000,0.000000
31,0.120000,2082,2085,0.786494,0.007646,0.205861,0.000000,0.000000
65,0.000000,2083,2084,0.898062,0.009395,0.092543,0.000000,0.000000
-1,0.000000,-1,-1,0.872807,0.009921,0.117272,0.000000,0.000000
-1,0.000000,-1,-1,0.992574,0.007426,0.000000,0.000000,0.000000
20,0.003914,2086,2087,0.298764,0.000000,0.701236,0.000000,0.000000
-1,0.000000,-1,-1,0.325065,0.000000,0.674935,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
85,0.000000,2089,2092,0.954576,0.034858,0.010565,0.000000,0.000000
36,0.890000,2090,2091,0.953730,0.035508,0.010762,0.000000,0.000000
-1,0.000000,-1,-1,0.971717,0.000000,0.028283,0.000000,0.000000
-1,0.000000,-1,-1,0.942681,0.057319,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
28,0.964706,2094,2101,0.002984,0.996421,0.000595,0.000000,0.000000
65,0.000000,2095,2100,0.071510,0.913735,0.014755,0.000000,0.000000
29,0.027451,2096,2099,0.000000,0.984108,0.015892,0.000000,0.000000
26,0.060000,2097,2098,0.000000,0.962807,0.037193,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.670005,0.329995,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,1.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,1.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
22,0.000000,2102,2103,0.000107,0.999893,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,1.000000,0.000000,0.000000,0.000000
30,0.070000,2104,2105,0.014303,0.985697,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,1.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.185222,0.814778,0.000000,0.000000,0.000000
30,0.010000,2107,2120,0.006335,0.000569,0.993096,0.000000,0.000000
115,0.000000,2108,2119,0.001123,0.000000,0.998877,0.000000,0.000000
36,0.000000,2109,2114,0.001186,0.000000,0.998814,0.000000,0.000000
0,0.000000,2110,2113,0.547836,0.000000,0.452164,0.000000,0.000000
26,0.670000,2111,2112,0.302022,0.000000,0.697978,0.000000,0.000000
-1,0.000000,-1,-1,0.257151,0.000000,0.742849,0.000000,0.000000
-1,0.000000,-1,-1,0.341781,0.000000,0.658219,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
36,0.030000,2115,2118,0.000210,0.000000,0.999790,0.000000,0.000000
114,0.000000,2116,2117,0.019580,0.000000,0.980420,0.000000,0.000000
-1,0.000000,-1,-1,0.023058,0.000000,0.976942,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
36,0.000000,2121,2132,0.247951,0.026931,0.725117,0.000000,0.000000
20,0.001957,2122,2127,0.671376,0.055462,0.273162,0.000000,0.000000
0,0.000000,2123,2126,0.852905,0.000000,0.147095,0.000000,0.000000
29,0.011765,2124,2125,0.840741,0.000000,0.159259,0.000000,0.000000
-1,0.000000,-1,-1,0.147546,0.000000,0.852454,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
35,0.000000,2128,2129,0.147071,0.215650,0.637279,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
24,0.000000,2130,2131,0.405465,0.594535,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,1.000000,0.000000,0.000000,0.000000
28,0.658824,2133,2136,0.045264,0.013274,0.941461,0.000000,0.000000
30,0.020000,2134,2135,0.463928,0.000000,0.536072,0.000000,0.000000
-1,0.000000,-1,-1,0.206114,0.000000,0.793886,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
34,0.000000,2137,2140,0.000000,0.014709,0.985291,0.000000,0.000000
32,0.000000,2138,2139,0.000000,0.040582,0.959418,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.077999,0.922001,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
116,0.000000,2142,2153,0.001876,0.950892,0.043346,0.003886,0.000000
30,0.130000,2143,2150,0.025294,0.000000,0.860578,0.114128,0.000000
34,0.040000,2144,2147,0.009702,0.000000,0.990298,0.000000,0.000000
1,0.000000,2145,2146,0.707874,0.000000,0.292126,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.147546,0.000000,0.852454,0.000000,0.000000
32,0.110000,2148,2149,0.000655,0.000000,0.999345,0.000000,0.000000
-1,0.000000,-1,-1,0.079649,0.000000,0.920351,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
20,0.045010,2151,2152,0.128731,0.000000,0.000000,0.871269,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,0.000000,1.000000,0.000000
35,0.010000,2154,2159,0.001050,0.984411,0.014538,0.000000,0.000000
36,0.380000,2155,2158,0.721933,0.000000,0.278067,0.000000,0.000000
30,0.870000,2156,2157,0.547836,0.000000,0.452164,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
19,0.587084,2160,2175,0.000456,0.985223,0.014321,0.000000,0.000000
21,0.500000,2161,2168,0.000460,0.994335,0.005205,0.000000,0.000000
59,0.000000,2162,2167,0.000000,0.128955,0.871045,0.000000,0.000000
32,0.010000,2163,2164,0.000000,0.077999,0.922001,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.202421,0.797579,0.000000,0.000000
31,0.000000,2165,2166,0.000000,0.048307,0.951693,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,1.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,1.000000,0.000000,0.000000,0.000000
6,0.000000,2169,2174,0.000461,0.995716,0.003823,0.000000,0.000000
71,0.000000,2170,2173,0.000461,0.996178,0.003361,0.000000,0.000000
46,0.000000,2171,2172,0.000466,0.996141,0.003393,0.000000,0.000000
-1,0.000000,-1,-1,0.000474,0.996076,0.003450,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,1.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,1.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
25,0.010000,2176,2177,0.000000,0.024751,0.975249,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,1.000000,0.000000,0.000000,0.000000
26,0.670000,2179,2186,0.000000,0.965419,0.034581,0.000000,0.000000
29,0.003922,2180,2185,0.000000,0.994909,0.005091,0.000000,0.000000
22,0.000000,2181,2184,0.000000,0.926952,0.073048,0.000000,0.000000
26,0.070000,2182,2183,0.000000,0.670005,0.329995,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.432264,0.567736,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,1.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,1.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,1.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
113,0.000000,2188,2223,0.024005,0.000000,0.018262,0.017346,0.940387
34,0.000000,2189,2210,0.021850,0.000000,0.015625,0.017432,0.945092
2,0.000000,2190,2205,0.017853,0.000000,0.009331,0.011817,0.960999
20,0.001957,2191,2202,0.454702,0.000000,0.240597,0.304701,0.000000
29,0.007843,2192,2201,0.373175,0.000000,0.272341,0.354484,0.000000
30,0.230000,2193,2196,0.161816,0.000000,0.838184,0.000000,0.000000
1,0.000000,2194,2195,0.232480,0.000000,0.767520,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
25,0.520000,2197,2198,0.017014,0.000000,0.982986,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
29,0.003922,2199,2200,0.033459,0.000000,0.966541,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.054548,0.000000,0.945452,0.000000,0.000000
-1,0.000000,-1,-1,0.437980,0.000000,0.098846,0.463174,0.000000
30,0.020000,2203,2204,0.953697,0.000000,0.046303,0.000000,0.000000
-1,0.000000,-1,-1,0.147546,0.000000,0.852454,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
33,0.050000,2206,2209,0.000227,0.000000,0.000000,0.000000,0.999773
10,0.000000,2207,2208,0.000386,0.000000,0.000000,0.000000,0.999614
-1,0.000000,-1,-1,0.000289,0.000000,0.000000,0.000000,0.999711
-1,0.000000,-1,-1,0.000772,0.000000,0.000000,0.000000,0.999228
-1,0.000000,-1,-1,0.000000,0.000000,0.000000,0.000000,1.000000
22,0.500000,2211,2220,0.259350,0.000000,0.389586,0.351064,0.000000
25,0.170000,2212,2217,0.269843,0.000000,0.353594,0.376564,0.000000
28,0.419608,2213,2214,0.045077,0.000000,0.954923,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
21,0.500000,2215,2216,0.030510,0.000000,0.969490,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
35,0.010000,2218,2219,0.402009,0.000000,0.000000,0.597991,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.134303,0.000000,0.000000,0.865697,0.000000
19,0.001957,2221,2222,0.114898,0.000000,0.885102,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.454729,0.000000,0.545271,0.000000,0.000000
13,0.000000,2225,2408,0.342528,0.031468,0.008230,0.359371,0.258404
61,0.000000,2226,2363,0.418113,0.038588,0.009935,0.436543,0.096822
26,0.000000,2227,2322,0.553166,0.054964,0.014151,0.239809,0.137910
31,0.010000,2228,2273,0.536255,0.057074,0.013811,0.249172,0.143688
101,0.000000,2229,2268,0.702674,0.059914,0.011242,0.075412,0.150759
20,0.434442,2230,2261,0.900017,0.076889,0.014427,0.008667,0.000000
6,0.000000,2231,2244,0.925685,0.049843,0.015288,0.009184,0.000000
27,0.000000,2232,2241,0.963337,0.019008,0.016049,0.001607,0.000000
90,0.000000,2233,2240,0.941535,0.027680,0.027983,0.002802,0.000000
8,0.000000,2234,2237,0.968121,0.028949,0.000000,0.002930,0.000000
38,0.000000,2235,2236,0.770712,0.229288,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.074504,0.925496,0.000000,0.000000,0.000000
115,0.000000,2238,2239,0.996146,0.000507,0.000000,0.003346,0.000000
-1,0.000000,-1,-1,0.996434,0.000218,0.000000,0.003349,0.000000
-1,0.000000,-1,-1,0.605440,0.394560,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.361671,0.000000,0.638329,0.000000,0.000000
56,0.000000,2242,2243,0.992654,0.007346,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,1.000000,0.000000,0.000000,0.000000
9,0.000000,2245,2254,0.168920,0.669600,0.000000,0.161480,0.000000
33,0.000000,2246,2253,0.434613,0.107205,0.000000,0.458181,0.000000
22,0.000000,2247,2250,0.271972,0.138044,0.000000,0.589983,0.000000
1,0.000000,2248,2249,0.233533,0.134233,0.000000,0.632234,0.000000
-1,0.000000,-1,-1,0.008787,0.000000,0.000000,0.991213,0.000000
-1,0.000000,-1,-1,0.629356,0.370644,0.000000,0.000000,0.000000
29,0.109804,2251,2252,0.808734,0.191266,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,1.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.875733,0.124267,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
36,0.000000,2255,2258,0.024317,0.975683,0.000000,0.000000,0.000000
1,0.000000,2256,2257,0.238925,0.761075,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.010709,0.989291,0.000000,0.000000,0.000000
1,0.000000,2259,2260,0.003237,0.996763,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,1.000000,0.000000,0.000000,0.000000
19,0.587084,2262,2265,0.470102,0.529898,0.000000,0.000000,0.000000
40,0.000000,2263,2264,0.771358,0.228642,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,1.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
1,0.000000,2266,2267,0.216847,0.783153,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,1.000000,0.000000,0.000000,0.000000
7,0.000000,2269,2270,0.006177,0.000000,0.000000,0.310980,0.682843
-1,0.000000,-1,-1,0.008576,0.000000,0.000000,0.007347,0.984077
24,0.000000,2271,2272,0.000738,0.000000,0.000000,0.999262,0.000000
-1,0.000000,-1,-1,0.042444,0.000000,0.000000,0.957556,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,0.000000,1.000000,0.000000
6,0.000000,2274,2309,0.279739,0.052696,0.017772,0.517005,0.132788
1,0.000000,2275,2288,0.551176,0.112521,0.037948,0.014818,0.283537
27,0.000000,2276,2287,0.296434,0.000000,0.018384,0.025843,0.659338
36,0.000000,2277,2286,0.210858,0.000000,0.020620,0.028987,0.739535
15,0.000000,2278,2285,0.185989,0.000000,0.021270,0.029900,0.762840
30,0.010000,2279,2282,0.189772,0.000000,0.021703,0.010169,0.778356
1,0.000000,2280,2281,0.067895,0.000000,0.000000,0.000000,0.932105
-1,0.000000,-1,-1,0.006902,0.000000,0.000000,0.000000,0.993098
-1,0.000000,-1,-1,0.169866,0.000000,0.000000,0.000000,0.830134
101,0.000000,2283,2284,0.394021,0.000000,0.058073,0.027212,0.520694
-1,0.000000,-1,-1,0.852076,0.000000,0.147924,0.000000,0.000000
-1,0.000000,-1,-1,0.097965,0.000000,0.000000,0.044800,0.857235
-1,0.000000,-1,-1,0.000000,0.000000,0.000000,1.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
56,0.000000,2289,2308,0.743376,0.197417,0.052708,0.006500,0.000000
33,0.000000,2290,2299,0.926229,0.000000,0.065673,0.008098,0.000000
90,0.000000,2291,2298,0.870026,0.000000,0.114392,0.015582,0.000000
60,0.000000,2292,2295,0.975083,0.000000,0.007454,0.017464,0.000000
31,0.120000,2293,2294,0.977976,0.000000,0.004490,0.017534,0.000000
-1,0.000000,-1,-1,0.997694,0.000000,0.002306,0.000000,0.000000
-1,0.000000,-1,-1,0.941490,0.000000,0.008533,0.049978,0.000000
32,0.010000,2296,2297,0.257151,0.000000,0.742849,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.079649,0.000000,0.920351,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
29,0.588235,2300,2305,0.987046,0.000000,0.012954,0.000000,0.000000
2,0.000000,2301,2302,0.975220,0.000000,0.024780,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
95,0.000000,2303,2304,0.852435,0.000000,0.147565,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.833872,0.000000,0.166128,0.000000,0.000000
8,0.000000,2306,2307,0.997311,0.000000,0.002689,0.000000,0.000000
-1,0.000000,-1,-1,0.341781,0.000000,0.658219,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,1.000000,0.000000,0.000000,0.000000
2,0.000002,2310,2321,0.040643,0.000000,0.000000,0.959357,0.000000
37,0.000000,2311,2320,0.019899,0.000000,0.000000,0.980101,0.000000
1,0.000000,2312,2313,0.015097,0.000000,0.000000,0.984903,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
30,0.700000,2314,2319,0.004054,0.000000,0.000000,0.995946,0.000000
35,0.000000,2315,2318,0.003555,0.000000,0.000000,0.996445,0.000000
33,0.000000,2316,2317,0.003016,0.000000,0.000000,0.996984,0.000000
-1,0.000000,-1,-1,0.002916,0.000000,0.000000,0.997084,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.139804,0.000000,0.000000,0.860196,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
31,0.040000,2323,2336,0.956856,0.004590,0.022258,0.016296,0.000000
32,0.030000,2324,2335,0.990884,0.006996,0.002120,0.000000,0.000000
40,0.000000,2325,2334,0.988154,0.009091,0.002755,0.000000,0.000000
30,0.960000,2326,2331,0.925817,0.056929,0.017255,0.000000,0.000000
28,0.964706,2327,2328,0.980855,0.000000,0.019145,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
1,0.000000,2329,2330,0.965970,0.000000,0.034030,0.000000,0.000000
-1,0.000000,-1,-1,0.257151,0.000000,0.742849,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
24,0.000000,2332,2333,0.423447,0.576553,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.576983,0.423017,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,1.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
2,0.000000,2337,2352,0.891942,0.000000,0.060674,0.047385,0.000000
34,0.040000,2338,2349,0.976241,0.000000,0.023759,0.000000,0.000000
31,0.120000,2339,2348,0.985463,0.000000,0.014537,0.000000,0.000000
101,0.000000,2340,2347,0.947049,0.000000,0.052951,0.000000,0.000000
36,0.000000,2341,2342,0.981704,0.000000,0.018296,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
33,0.000000,2343,2346,0.633812,0.000000,0.366188,0.000000,0.000000
2,0.000000,2344,2345,0.580655,0.000000,0.419345,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.147546,0.000000,0.852454,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
28,0.529412,2350,2351,0.509444,0.000000,0.490556,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.079649,0.000000,0.920351,0.000000,0.000000
32,0.000000,2353,2354,0.409495,0.000000,0.271939,0.318565,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
6,0.000000,2355,2360,0.276726,0.000000,0.333082,0.390192,0.000000
1,0.000000,2356,2357,0.310354,0.000000,0.689646,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
28,0.529412,2358,2359,0.692316,0.000000,0.307684,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.079649,0.000000,0.920351,0.000000,0.000000
30,0.080000,2361,2362,0.245313,0.000000,0.000000,0.754687,0.000000
-1,0.000000,-1,-1,0.117369,0.000000,0.000000,0.882631,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
119,0.000000,2364,2407,0.099872,0.000000,0.000000,0.900128,0.000000
26,0.000000,2365,2396,0.099646,0.000000,0.000000,0.900354,0.000000
30,0.870000,2366,2393,0.096123,0.000000,0.000000,0.903877,0.000000
8,0.000000,2367,2368,0.566746,0.000000,0.000000,0.433254,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
31,0.060000,2369,2380,0.467495,0.000000,0.000000,0.532505,0.000000
32,0.330000,2370,2377,0.692145,0.000000,0.000000,0.307855,0.000000
27,0.000000,2371,2376,0.884637,0.000000,0.000000,0.115363,0.000000
28,0.658824,2372,2373,0.874590,0.000000,0.000000,0.125410,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
35,0.010000,2374,2375,0.786952,0.000000,0.000000,0.213048,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.399356,0.000000,0.000000,0.600644,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
33,0.020000,2378,2379,0.537952,0.000000,0.000000,0.462048,0.000000
-1,0.000000,-1,-1,0.486801,0.000000,0.000000,0.513199,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
1,0.000000,2381,2386,0.257859,0.000000,0.000000,0.742141,0.000000
36,0.000000,2382,2385,0.116039,0.000000,0.000000,0.883961,0.000000
12,0.000000,2383,2384,0.107973,0.000000,0.000000,0.892027,0.000000
-1,0.000000,-1,-1,0.060842,0.000000,0.000000,0.939158,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
33,0.000000,2387,2392,0.595404,0.000000,0.000000,0.404596,0.000000
35,0.000000,2388,2389,0.248664,0.000000,0.000000,0.751336,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
19,0.001957,2390,2391,0.055802,0.000000,0.000000,0.944198,0.000000
-1,0.000000,-1,-1,0.025906,0.000000,0.000000,0.974094,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
37,0.000000,2394,2395,0.009483,0.000000,0.000000,0.990517,0.000000
-1,0.000000,-1,-1,0.009680,0.000000,0.000000,0.990320,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,0.000000,1.000000,0.000000
1,0.000000,2397,2398,0.345112,0.000000,0.000000,0.654888,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
19,0.005871,2399,2406,0.293868,0.000000,0.000000,0.706132,0.000000
36,0.000000,2400,2405,0.199176,0.000000,0.000000,0.800824,0.000000
8,0.000000,2401,2402,0.192809,0.000000,0.000000,0.807191,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
1,0.000000,2403,2404,0.126858,0.000000,0.000000,0.873142,0.000000
-1,0.000000,-1,-1,0.028702,0.000000,0.000000,0.971298,0.000000
-1,0.000000,-1,-1,0.144155,0.000000,0.000000,0.855845,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
101,0.000000,2409,2416,0.008471,0.000000,0.000694,0.018297,0.972538
27,0.000000,2410,2415,0.022523,0.000000,0.000000,0.048547,0.928930
18,0.000000,2411,2414,0.016740,0.000000,0.000000,0.048834,0.934426
2,0.000000,2412,2413,0.017599,0.000000,0.000000,0.000000,0.982401
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.005987,0.000000,0.000000,0.000000,0.994013
-1,0.000000,-1,-1,0.000000,0.000000,0.000000,1.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
2,0.000009,2417,2422,0.004749,0.000000,0.000878,0.010286,0.984087
34,0.000000,2418,2421,0.001339,0.000000,0.000000,0.007768,0.990893
29,0.003922,2419,2420,0.000153,0.000000,0.000000,0.007777,0.992070
-1,0.000000,-1,-1,0.000000,0.000000,0.000000,0.037718,0.962282
-1,0.000000,-1,-1,0.000193,0.000000,0.000000,0.000000,0.999807
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
29,0.003922,2423,2426,0.497811,0.000000,0.127828,0.374362,0.000000
32,0.000000,2424,2425,0.068793,0.000000,0.000000,0.931207,0.000000
